"","V1","V2"
"(Intercept)",-0.0343963311369119,0.0260901461147771
"cos.x1",0.555597953730907,-0.00118877400288341
"cos.x2",0.0271446328426263,0.0152306430555138
"cos.x3",-0.0579642525124919,0.0129193020786539
"sin.x1",0.0435591747833591,0.476128751806491
"sin.x2",-0.00562409179617545,0.0380797179395631
"sin.x3",-0.0121298582587932,0.0237144298634408
